"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2017","2,386.07","2,368.44","2,386.07","2,365.37","298.74K","0.35%"
"Sep 14, 2017","2,377.66","2,365.54","2,377.66","2,358.43","314.26K","0.74%"
"Sep 13, 2017","2,360.18","2,370.54","2,373.61","2,360.17","318.87K","-0.22%"
"Sep 12, 2017","2,365.47","2,372.02","2,372.45","2,359.12","333.57K","0.27%"
"Sep 11, 2017","2,359.08","2,354.86","2,369.72","2,354.35","243.61K","0.66%"
"Sep 08, 2017","2,343.72","2,350.19","2,351.73","2,340.63","214.59K","-0.11%"
"Sep 07, 2017","2,346.19","2,328.94","2,349.79","2,328.92","277.04K","1.14%"
"Sep 06, 2017","2,319.82","2,324.84","2,325.56","2,314.31","252.68K","-0.29%"
"Sep 05, 2017","2,326.62","2,340.62","2,340.62","2,319.94","320.43K","-0.13%"
"Sep 04, 2017","2,329.65","2,316.89","2,344.82","2,316.89","248.49K","-1.19%"
"Sep 01, 2017","2,357.69","2,367.45","2,370.25","2,351.37","280.06K","-0.23%"
"Aug 31, 2017","2,363.19","2,373.96","2,377.02","2,355.29","265.05K","-0.38%"
"Aug 30, 2017","2,372.29","2,368.13","2,372.29","2,363.43","305.64K","0.32%"
"Aug 29, 2017","2,364.74","2,356.20","2,364.74","2,332.85","223.09K","-0.23%"
"Aug 28, 2017","2,370.30","2,376.38","2,383.46","2,366.23","226.87K","-0.35%"
"Aug 25, 2017","2,378.51","2,381.47","2,384.59","2,372.67","341.96K","0.11%"
"Aug 24, 2017","2,375.84","2,370.12","2,382.72","2,368.29","295.53K","0.40%"
"Aug 23, 2017","2,366.40","2,376.53","2,379.59","2,360.71","228.62K","0.05%"
"Aug 22, 2017","2,365.33","2,360.29","2,369.02","2,359.97","251.86K","0.44%"
"Aug 21, 2017","2,355.00","2,363.38","2,363.38","2,351.96","207.23K","-0.14%"
"Aug 18, 2017","2,358.37","2,340.19","2,362.43","2,340.19","201.48K","-0.14%"
"Aug 17, 2017","2,361.67","2,351.61","2,364.50","2,346.74","255.77K","0.57%"
"Aug 16, 2017","2,348.26","2,355.74","2,358.46","2,343.72","270.52K","0.60%"
"Aug 14, 2017","2,334.22","2,336.02","2,341.78","2,327.80","214.03K","0.63%"
"Aug 11, 2017","2,319.71","2,323.06","2,335.12","2,310.20","318.58K","-1.69%"
"Aug 10, 2017","2,359.47","2,360.95","2,371.50","2,339.06","283.87K","-0.38%"
"Aug 09, 2017","2,368.39","2,379.70","2,387.53","2,366.33","234.07K","-1.10%"
"Aug 08, 2017","2,394.73","2,404.68","2,410.22","2,383.94","252.85K","-0.17%"
"Aug 07, 2017","2,398.75","2,402.57","2,412.13","2,395.74","244.12K","0.14%"
"Aug 04, 2017","2,395.45","2,389.74","2,400.33","2,383.45","273.57K","0.36%"
"Aug 03, 2017","2,386.85","2,423.21","2,423.55","2,374.11","303.58K","-1.68%"
"Aug 02, 2017","2,427.63","2,431.94","2,434.47","2,424.18","261.57K","0.19%"
