Genes,Feature1,Feature2,Feature3,Feature4
'MAPKAPK2',75.68,2.9816,2.533,0.067418
'NLRP2',0.44587,1.0369,0.8416,2.8412
'NLRP2',0.44587,1.0369,0.8416,2.8412
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'ATM',30.666,-3.3485,-3.2424,1.8297
'APEX1',73.306,0.63076,0.35518,-0.03089
'ATM',30.666,-3.3485,-3.2424,1.8297
'CDKN2A',71.108,0.050196,-0.49802,-0.18056
'CDKN2A',71.108,0.050196,-0.49802,-0.18056
'ABCB1',-41.352,0.27386,0.42371,-0.9602
'ABCC10',29.111,0.53633,0.20373,1.1142
'CDA',-17.729,0.6909,0.49768,-1.1913
'CDKN2A',71.108,0.050196,-0.49802,-0.18056
'CDKN2A',71.108,0.050196,-0.49802,-0.18056
'CDKN2A',71.108,0.050196,-0.49802,-0.18056
'EREG',-58.262,-0.82257,-1.2512,-1.0115
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CDKN1A',90.421,0.56959,0.20247,1.2677
'ERBB2',85.359,0.94449,0.70108,0.649
'PARP1',84.699,2.8086,2.3618,0.1593
'BAK1',45.249,0.55958,0.22372,1.3246
'BAX',52.291,0.86985,0.52212,2.4027
'MAPK1',68.338,-0.46943,-0.40277,-0.027887
'PIK3CA',26.533,6.5048,5.4396,-2.0393
'CHEK2',27.008,-0.50089,-0.26813,-0.21843
'PIK3CA',26.533,6.5048,5.4396,-2.0393
'CDK6',31.5,0.18754,0.25042,-0.84668
'PIK3CA',26.533,6.5048,5.4396,-2.0393
'CUX1',50.616,-0.058635,0.11926,-1.0323
'MSMP',-55.214,0.10278,-0.34607,-0.19302
'ESR1',11.859,-1.2279,-1.2161,0.2985
'GLI1',-70.16,0.73023,0.5301,0.026539
'GLI2',-41.083,-0.094919,-0.1549,0.5409
'CDK4',77.156,0.72881,0.53166,0.026731
'PIK3CA',26.533,6.5048,5.4396,-2.0393
'SSH1',45.261,0.34506,0.086377,0.03896
'SSH1',45.261,0.34506,0.086377,0.03896
'SSH2',29.023,0.008414,-0.21084,0.015404
'PRAM1',-48.346,-0.90471,-1.0454,-0.92099
'EREG',-58.262,-0.82257,-1.2512,-1.0115
'EREG',-58.262,-0.82257,-1.2512,-1.0115
'EREG',-58.262,-0.82257,-1.2512,-1.0115
'MLH1',35.67,-2.0537,-2.2905,0.18229
'MLH1',35.67,-2.0537,-2.2905,0.18229
'MLH1',35.67,-2.0537,-2.2905,0.18229
'IL6',-41.744,0.49916,-0.015935,0.20791
'IL6',-41.744,0.49916,-0.015935,0.20791
'JAK2',19.758,0.50494,0.25108,0.25869
'JAK2',19.758,0.50494,0.25108,0.25869
'JAK2',19.758,0.50494,0.25108,0.25869
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'BAX',52.291,0.86985,0.52212,2.4027
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'BRAF',-7.8237,-0.41688,-0.25394,-0.6219
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'ATG5',42.178,-0.78423,-0.89627,0.4935
'BECN1',56.91,0.25109,-0.020766,0.09007
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
